Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,FRPTIMWBH,FRPTIM,FRSTIMWBH,FRSTIM,FRTIMWBH,RWTIM,RWTIMWBH,MTOC
Support,Solved,Low,Mail,2023-04-08 20:52:00,2023-06-14 16:30:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-06-14 16:30:00.000000000,1604.0,Offered,11,11,173.0,12975.0,6488.0,96218.0,47978.0,17853.0,8516.0,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-04-24 19:32:00,2023-06-15 16:37:00,2023-04-25 10:18:00,2023-04-25 10:18:00,2023-05-26 16:26:00.000000000,765.0,Offered,10,10,1527.0,2984.0,1527.0,45893.0,22853.0,30113.0,15139.0,Not Fill
Support,Solved,Low,Mail,2023-05-16 17:43:00,2023-05-30 14:56:00,2023-05-16 18:18:00,2023-05-16 18:18:00,2023-05-30 14:56:00.000000000,333.0,4,10,11,61.0,1563.0,843.0,19993.0,9913.0,7115.0,3335.0,Claims
Support,Solved,Low,Mail,2023-04-13 11:03:00,2023-06-15 20:55:00,2023-04-13 13:04:00,2023-04-13 13:04:00,2023-06-15 20:55:00.000000000,1522.0,Offered,9,9,381.0,2888.0,1448.0,91313.0,45953.0,18221.0,9401.0,Claims
Support,Closed,Low,Mail,2023-04-24 13:21:00,2023-06-08 18:37:00,2023-04-27 14:48:00,2023-04-24 13:48:00,2023-05-19 18:25:00.000000000,605.0,4,9,9,37.0,37.0,37.0,36304.0,17739.0,7427.0,4008.0,Claims
Support,Solved,Low,Mail,2023-05-14 11:54:00,2023-06-07 17:55:00,2023-05-14 12:53:00,2023-05-14 12:53:00,2023-06-07 17:55:00.000000000,582.0,1,9,6,62.0,411.0,411.0,34921.0,17641.0,3708.0,2088.0,Claims
Onboardings,Closed,Low,Mail,2023-04-06 14:46:00,2023-05-31 06:09:00,2023-04-06 14:58:00,2023-04-06 14:58:00,2023-05-02 12:23:00.000000000,622.0,Offered,8,8,4070.0,5832.0,2952.0,37297.0,18577.0,9779.0,4739.0,Not Fill
Support,Closed,Low,Mail,2023-04-06 18:02:00,2023-06-03 06:08:00,2023-04-06 18:13:00,2023-04-06 18:13:00,2023-05-05 12:17:00.000000000,690.0,Offered,8,10,67.0,5456.0,2576.0,41415.0,20535.0,13311.0,6831.0,Claims
Support,Solved,Low,Mail,2023-04-17 18:05:00,2023-06-07 19:58:00,2023-04-18 08:51:00,2023-04-18 08:51:00,2023-06-07 19:58:00.000000000,1226.0,4,8,10,356.0,11038.0,5278.0,73553.0,36833.0,19107.0,9027.0,Claims
Support,Closed,Low,Internal Communication,2023-05-02 10:55:00,2023-06-07 10:35:00,2023-05-02 11:22:00,2023-05-02 11:22:00,2023-05-18 09:36:00.000000000,383.0,Offered,8,7,221.0,42.0,42.0,22961.0,11441.0,7367.0,3047.0,Not Fill
Support,Closed,Low,Mail,2023-04-02 17:16:00,2023-06-07 07:36:00,2023-05-12 14:25:00,2023-04-02 20:28:00,2023-05-16 14:30:00.000000000,1053.0,Offered,7,14,202.0,1155.0,435.0,63194.0,31514.0,22868.0,11348.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-03 19:47:00,2023-06-06 06:12:00,2023-04-04 10:20:00,2023-04-04 10:20:00,2023-05-08 14:19:00.000000000,835.0,Offered,7,13,792.0,4184.0,2024.0,50072.0,24872.0,44958.0,22489.0,Not Fill
Support,Closed,Low,Mail,2023-04-05 19:04:00,2023-06-13 19:38:00,2023-04-18 15:37:00,2023-04-05 19:20:00,2023-05-24 18:43:00.000000000,1176.0,1,7,20,57.0,5843.0,2963.0,70539.0,35259.0,64456.0,32055.0,Claims
Support,Closed,Low,Mail,2023-04-08 20:49:00,2023-05-27 06:08:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-04-28 15:33:00.000000000,475.0,4,7,6,150.0,6743.0,3143.0,28484.0,14084.0,13436.0,6047.0,Health ID
Support,Closed,Low,Mail,2023-04-13 17:38:00,2023-06-18 10:34:00,2023-04-13 18:12:00,2023-04-13 18:12:00,2023-05-29 10:09:00.000000000,1097.0,4,7,7,61.0,61.0,61.0,65791.0,32671.0,1020.0,300.0,Claims
Reimbursement Claims,Solved,Low,Mail,2023-04-14 19:49:00,2023-06-06 01:59:00,2023-05-25 14:38:00,2023-04-14 20:21:00,2023-06-06 01:59:00.000000000,1254.0,Offered,7,9,71.0,10070.0,5030.0,75250.0,37511.0,17109.0,8889.0,Not Fill
Support,Closed,Low,Mail,2023-04-16 09:24:00,2023-05-31 06:09:00,2023-04-16 11:56:00,2023-04-16 11:56:00,2023-05-02 12:11:00.000000000,387.0,Offered,7,5,177.0,177.0,177.0,23207.0,11687.0,2569.0,1296.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-28 10:06:00,2023-06-15 16:37:00,2023-05-09 16:55:00,2023-04-28 10:36:00,2023-05-26 15:58:00.000000000,678.0,Offered,7,12,263.0,16248.0,8328.0,40672.0,20512.0,28327.0,14467.0,Not Fill
Support,Solved,Low,Mail,2023-05-15 12:13:00,2023-06-02 16:34:00,2023-05-15 13:07:00,2023-05-15 13:07:00,2023-06-02 16:34:00.000000000,436.0,4,7,2,73.0,73.0,73.0,26181.0,13221.0,226.0,226.0,Claims
Support,Solved,Low,Mail,2023-05-22 12:49:00,2023-06-14 12:04:00,2023-05-22 13:15:00,2023-05-22 13:15:00,2023-06-13 19:42:00.000000000,535.0,1,7,12,87.0,469.0,469.0,32092.0,16252.0,12433.0,6672.0,Claims
Support,Solved,Low,Mail,2023-05-24 13:27:00,2023-05-31 16:37:00,2023-05-24 14:08:00,2023-05-24 14:08:00,2023-05-31 16:37:00.000000000,171.0,Offered,7,7,67.0,2775.0,1335.0,10270.0,5230.0,4359.0,2199.0,Is my treatment covered (IMTC)
Reimbursement Claims,Hold,Low,Mail,2023-04-01 19:41:00,2023-04-24 14:55:00,2023-04-03 15:12:00,2023-04-02 15:01:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,6,7,1289.0,2729.0,1289.0,12323.522002085505,6201.2645116440735,20162.0,10110.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-05 10:18:00,2023-06-07 07:36:00,2023-04-05 12:54:00,2023-04-05 12:54:00,2023-05-10 12:45:00.000000000,842.0,Offered,6,10,1148.0,1868.0,1148.0,50547.0,25347.0,45983.0,23807.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-05 11:47:00,2023-05-17 06:11:00,2023-04-05 13:11:00,2023-04-05 13:11:00,2023-04-18 15:42:00.000000000,316.0,Offered,6,7,426.0,426.0,426.0,18955.0,9595.0,13043.0,6837.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-06 16:06:00,2023-06-02 06:09:00,2023-04-06 16:27:00,2023-04-06 16:27:00,2023-05-04 13:12:00.000000000,669.0,Offered,6,1,43.0,43.0,43.0,40146.0,19986.0,1901.0,1181.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-10 18:29:00,2023-06-05 05:59:00,2023-04-10 18:49:00,2023-04-10 18:49:00,2023-05-07 09:37:00.000000000,639.0,Offered,6,8,34.0,291.0,150.0,38348.0,18908.0,16164.0,8798.0,Not Fill
Endorsements,Closed,Low,Mail,2023-04-11 17:46:00,2023-06-15 17:37:00,2023-04-11 21:32:00,2023-04-11 21:32:00,2023-05-26 16:37:00.000000000,1079.0,Offered,6,7,305.0,1025.0,305.0,64731.0,32331.0,13216.0,6735.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-16 20:36:00,2023-06-07 06:10:00,2023-04-17 14:52:00,2023-04-17 14:52:00,2023-05-09 12:08:00.000000000,544.0,Offered,6,7,838.0,2278.0,838.0,32612.0,16052.0,20435.0,10170.0,Not Fill
Support,Closed,Low,Mail,2023-04-21 10:20:00,2023-04-28 09:59:00,2023-04-28 09:59:00,2023-04-21 10:46:00,2023-04-28 09:59:00.000000000,168.0,4,6,3,63.0,468.0,468.0,10059.0,5019.0,2848.0,1408.0,Claims
Onboardings,Closed,Low,Mail,2023-04-21 15:43:00,2023-06-07 06:45:00,2023-04-24 10:36:00,2023-04-24 10:36:00,2023-05-17 15:42:00.000000000,624.0,Offered,6,7,1981.0,4141.0,1981.0,37439.0,18719.0,4828.0,2309.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-24 20:16:00,2023-06-08 16:35:00,2023-04-26 17:13:00,2023-04-25 10:00:00,2023-05-19 16:19:00.000000000,596.0,Offered,6,0,1852.1139498432601,22375.0,10855.0,35762.0,17222.0,26946.0,13266.0,Not Fill
