Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,FRPTIMWBH,FRPTIM,FRSTIMWBH,FRSTIM,FRTIMWBH,RWTIM,RWTIMWBH,MTOC
Support,Solved,Low,Mail,2023-04-08 20:52:00,2023-06-14 16:30:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-06-14 16:30:00.000000000,514.5,Offered,11,6.0,173.0,12975.0,6488.0,30808.5,15526.0,17853.0,8516.0,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-04-24 19:32:00,2023-06-15 16:37:00,2023-04-25 10:18:00,2023-04-25 10:18:00,2023-05-26 16:26:00.000000000,514.5,Offered,10,6.0,1527.0,2984.0,1527.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Solved,Low,Mail,2023-05-16 17:43:00,2023-05-30 14:56:00,2023-05-16 18:18:00,2023-05-16 18:18:00,2023-05-30 14:56:00.000000000,333.0,4,10,6.0,61.0,1563.0,843.0,19993.0,9913.0,7115.0,3335.0,Claims
Support,Solved,Low,Mail,2023-04-13 11:03:00,2023-06-15 20:55:00,2023-04-13 13:04:00,2023-04-13 13:04:00,2023-06-15 20:55:00.000000000,514.5,Offered,9,6.0,381.0,2888.0,1448.0,30808.5,15526.0,18221.0,9401.0,Claims
Support,Closed,Low,Mail,2023-04-24 13:21:00,2023-06-08 18:37:00,2023-04-27 14:48:00,2023-04-24 13:48:00,2023-05-19 18:25:00.000000000,514.5,4,9,6.0,37.0,37.0,37.0,30808.5,15526.0,7427.0,4008.0,Claims
Support,Solved,Low,Mail,2023-05-14 11:54:00,2023-06-07 17:55:00,2023-05-14 12:53:00,2023-05-14 12:53:00,2023-06-07 17:55:00.000000000,514.5,1,9,6.0,62.0,411.0,411.0,30808.5,15526.0,3708.0,2088.0,Claims
Onboardings,Closed,Low,Mail,2023-04-06 14:46:00,2023-05-31 06:09:00,2023-04-06 14:58:00,2023-04-06 14:58:00,2023-05-02 12:23:00.000000000,514.5,Offered,8,6.0,4070.0,5832.0,2952.0,30808.5,15526.0,9779.0,4739.0,Not Fill
Support,Closed,Low,Mail,2023-04-06 18:02:00,2023-06-03 06:08:00,2023-04-06 18:13:00,2023-04-06 18:13:00,2023-05-05 12:17:00.000000000,514.5,Offered,8,6.0,67.0,5456.0,2576.0,30808.5,15526.0,13311.0,6831.0,Claims
Support,Solved,Low,Mail,2023-04-17 18:05:00,2023-06-07 19:58:00,2023-04-18 08:51:00,2023-04-18 08:51:00,2023-06-07 19:58:00.000000000,514.5,4,8,6.0,356.0,11038.0,5278.0,30808.5,15526.0,19107.0,9027.0,Claims
Support,Closed,Low,Internal Communication,2023-05-02 10:55:00,2023-06-07 10:35:00,2023-05-02 11:22:00,2023-05-02 11:22:00,2023-05-18 09:36:00.000000000,383.0,Offered,8,6.0,221.0,42.0,42.0,22961.0,11441.0,7367.0,3047.0,Not Fill
